ZIP,RMSE,MSE,MAE,R2
0.0,0.7911993561981945,0.6259964212484374,0.6578908542703304,-0.02964183580346602
72201.0,1.6271247597086937,2.6475349836570743,1.3935878673302275,-0.4688531905492592
72202.0,1.7025314162795853,2.8986132234189705,1.317695435801787,0.012568115727464524
72204.0,2.8344821257874635,8.034288921408619,2.2704056927136014,-0.029839821331452132
72205.0,2.5254895412798897,6.378097423114107,1.9791491498638476,-0.0532761200045202
72206.0,1.8517034746199814,3.4288057579197124,1.3842606524537717,-0.06444442683499263
72207.0,1.2237686924665159,1.497609812661206,0.9303621188737452,-0.1310447743954104
72209.0,3.0845905254880965,9.514698709930931,2.4533549855862344,-0.013472767908951466
72210.0,1.6335862860674255,2.6686041540275647,1.080184144899249,-0.46886080400714203
72211.0,2.133026395546223,4.5498016040969125,1.6729499133569854,0.035778180862547804
72212.0,1.0306548989075772,1.0622495206421882,0.7777981359977275,-0.06885852409203586
72223.0,1.5918072277402986,2.5338502502862545,1.227594852979694,-0.2430706596338219
72227.0,1.3516419295424522,1.8269359056972436,0.8792003305362803,-0.7158723602192825
72103.0,1.012236436427537,1.024622603231519,0.776910670833396,-0.01555514656575352
72002.0,0.38046242733446256,0.14475165861323122,0.17632878788001413,0.007703654608395616
72114.0,0.27789951834155224,0.07722814229446673,0.05779208478673051,-0.0408479499865233
72118.0,0.1374393492425445,0.01888957472021412,0.022353923154377918,-0.007811963806402256
72019.0,0.1600794899813484,0.025625443112688624,0.04602872502318649,-0.12812962655622062
72117.0,0.1782261886942621,0.03176457433648272,0.06403364442409046,-0.01752519791199636
72120.0,0.11326595769076295,0.012829177171605703,0.021742350003034695,-0.06498009014662642
72135.0,0.1668441599921464,0.027836973723484947,0.0346492460629048,-0.044670654735572635
72116.0,0.19808160047914933,0.03923632044838133,0.0470155989482569,-0.06095010492423136
72113.0,0.12194801701374024,0.014871318853583478,0.02701299572645715,0.0033928472890826233
72122.0,0.15571578092135674,0.024247404427947965,0.040581275309835164,-0.04322979050976117
72076.0,0.15064949288102128,0.02269526970530888,0.04524993954692036,-0.11255109363897176
